,playerID,career_DivWin,career_WCWin,career_LgWin,career_WSWin,career_team_wins,career_team_games,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,post_G,post_AB,post_R,post_H,post_2B,post_3B,post_HR,post_RBI,post_SB,post_CS,post_BB,post_SO,post_IBB,post_HBP,post_SH,post_SF,post_GIDP,fielding_G,fielding_GS,InnOuts,PO,A,E,DP,PB,fielding_WP,fielding_SB,fielding_CS,ZR,fielding_post_G,fielding_post_GS,post_InnOuts,post_PO,post_A,post_E,post_DP,post_TP,post_PB,inducted,seasons_played,ALCS MVP,All-Star Game MVP,Babe Ruth Award,Baseball Magazine All-Star,Bob Feller Act of Valor Award - HOF Player,Bob Feller Act of Valor Award - MLB Player,Bob Feller Act of Valor Award - Patriot Award,Branch Rickey Award,Comeback Player of the Year,Cy Young Award,Gold Glove,Hank Aaron Award,Hutch Award,Lou Gehrig Memorial Award,MLB Players Choice Comeback Player,MLB Players Choice Man of the Year,MLB Players Choice Outstanding Pitcher,MLB Players Choice Outstanding Player,MLB Players Choice Outstanding Rookie,MLB Players Choice Player of the Year,MLB Players Curt Flood Award,Most Valuable Player,NLCS MVP,Outstanding DH Award,Pitcher of the Month,Pitching Triple Crown,Platinum Glove,Player of the Month,Player of the Week,Reliever of the Month,Reliever of the Year Award,Roberto Clemente Award,Rookie of the Month,Rookie of the Year,Silver Slugger,TSN All-Star,TSN Comeback Player of the Year,TSN Fireman of the Year,TSN Guide MVP,TSN Major League Player of the Year,TSN Pitcher of the Year,TSN Player of the Year,TSN Reliever of the Year,TSN Rookie Pitcher of the Year,TSN Rookie Player of the Year,TSN Rookie of the Year,This Year in Baseball Best Bounceback Player,This Year in Baseball Best Play - Offense,This Year in Baseball Best Player,This Year in Baseball Breakout Hitter of the Year,This Year in Baseball Breakout Pitcher of the Year,This Year in Baseball Breakout Player of the Year,This Year in Baseball Closer of the Year,This Year in Baseball Defensive Player of the Year,This Year in Baseball Dependable Player of the Year,This Year in Baseball Hitter of the Year,This Year in Baseball Moment of the Year,This Year in Baseball Oddity of the Year,This Year in Baseball Performance of the Year,This Year in Baseball Pitching Performance of the Year,This Year in Baseball Play of the Year,This Year in Baseball Postseason MVP,This Year in Baseball Postseason Moment of the Year,This Year in Baseball Rookie of the Year,This Year in Baseball Setup Man of the Year,This Year in Baseball Starter of the Year,This Year in Baseball X-Factor Player of the Year,Triple Crown,World Series MVP,nameFirst,nameLast,hof_eligibility,AVG,post_AVG,OBP,post_OBP,1B,SLG,post_1B,post_SLG,OPS,post_OPS
3606,collijo01,0,0,8,6,975,1540,908.0,2329.0,404.0,596.0,79.0,24.0,86.0,329.0,27.0,21.0,338.0,263.0,6.0,4.0,22.0,7.0,48.0,36.0,92.0,15.0,15.0,3.0,0.0,4.0,10.0,1.0,0.0,14.0,22.0,0.0,0.0,0.0,0.0,3.0,829.0,235.0,6870.0,4747.0,383.0,53.0,580.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,684.0,187.0,16.0,2.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joe,Collins,1,0.2559038213825676,0.16304347826086957,0.3502613890963405,0.27358490566037735,407.0,0.42121082009446115,8.0,0.32608695652173914,0.7714722091908017,0.5996718621821164
3611,collipa01,0,0,3,2,823,1527,543.0,1204.0,146.0,306.0,46.0,6.0,33.0,168.0,4.0,5.0,235.0,202.0,0.0,4.0,32.0,0.0,0.0,6.0,8.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,408.0,0.0,0.0,1392.0,252.0,44.0,27.0,20.0,0.0,0.0,0.0,0.0,6.0,2.0,81.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pat,Collins,1,0.2541528239202658,0.5,0.3776853776853777,0.6363636363636364,221.0,0.3845514950166113,2.0,0.75,0.762236872701989,1.3863636363636362
3614,colliri01,0,0,1,0,871,1703,316.0,582.0,43.0,96.0,18.0,4.0,1.0,36.0,0.0,1.0,33.0,199.0,0.0,3.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,90.0,437.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rip,Collins,1,0.16494845360824742,0.0,0.21359223300970873,0.0,73.0,0.21477663230240548,0.0,0.0,0.4283688653121142,0.0
3617,collish01,0,0,2,1,1205,2433,1799.0,6390.0,747.0,1687.0,310.0,133.0,22.0,709.0,225.0,83.0,331.0,463.0,0.0,57.0,258.0,0.0,0.0,10.0,37.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1714.0,83.0,2298.0,5959.0,418.0,177.0,231.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,219.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shano,Collins,1,0.2640062597809077,0.2702702702702703,0.30613750368840364,0.2702702702702703,1222.0,0.3644757433489828,8.0,0.32432432432432434,0.6706132470373865,0.5945945945945946
3628,colomje01,0,0,0,0,710,1779,341.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,1279.0,27.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jesus,Colome,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3629,colonba01,11,3,2,0,2007,3725,565.0,299.0,11.0,25.0,4.0,0.0,1.0,11.0,0.0,0.0,1.0,166.0,0.0,2.0,22.0,2.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,552.0,10385.0,188.0,456.0,48.0,47.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,201.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bartolo,Colon,1,0.08361204013377926,0.0,0.09210526315789473,0.0,20.0,0.10702341137123746,0.0,0.0,0.1991286745291322,0.0
3641,combsea01,0,0,4,3,1109,1847,1455.0,5746.0,1186.0,1866.0,309.0,154.0,58.0,632.0,96.0,71.0,670.0,278.0,0.0,17.0,74.0,0.0,0.0,16.0,60.0,17.0,21.0,3.0,0.0,1.0,9.0,0.0,0.0,10.0,7.0,0.0,1.0,0.0,1.0,1.0,1387.0,0.0,0.0,3449.0,69.0,95.0,23.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,405.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Earle,Combs,1,0.3247476505395057,0.35,0.3968599409295818,0.4444444444444444,1345.0,0.46240863209189004,17.0,0.45,0.8592685730214719,0.8944444444444444
3647,comisch01,0,0,4,1,980,1649,1390.0,5796.0,992.0,1529.0,207.0,68.0,28.0,883.0,416.0,0.0,197.0,132.0,0.0,42.0,5.0,0.0,0.0,38.0,151.0,22.0,44.0,4.0,1.0,0.0,10.0,8.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1409.0,0.0,36543.0,13900.0,570.0,417.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Charlie,Comiskey,1,0.2638026224982747,0.2913907284768212,0.29295774647887324,0.3006535947712418,1226.0,0.33747412008281574,39.0,0.33112582781456956,0.630431866561689,0.6317794225858113
3649,comorad01,0,0,1,0,799,1542,813.0,2787.0,404.0,795.0,134.0,51.0,28.0,417.0,57.0,0.0,214.0,158.0,0.0,14.0,101.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,0.0,0.0,1660.0,38.0,49.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adam,Comorosky,1,0.2852529601722282,0.0,0.33930348258706466,0.0,582.0,0.40007176175098674,0.0,0.0,0.7393752443380515,0.0
3657,conceda01,6,0,4,2,1659,3015,2488.0,8723.0,993.0,2326.0,389.0,48.0,101.0,950.0,321.0,109.0,736.0,1186.0,93.0,21.0,74.0,86.0,266.0,34.0,101.0,13.0,30.0,4.0,3.0,2.0,13.0,7.0,3.0,6.0,12.0,1.0,1.0,1.0,3.0,2.0,2499.0,2250.0,60624.0,4245.0,7024.0,326.0,1390.0,0.0,0.0,0.0,0.0,0.0,31.0,27.0,752.0,36.0,81.0,4.0,12.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dave,Concepcion,1,0.2666513814054798,0.297029702970297,0.3222872674053941,0.3333333333333333,1788.0,0.3569872750200619,21.0,0.45544554455445546,0.679274542425456,0.7887788778877888
3663,coneda01,6,2,5,5,1609,2990,451.0,412.0,28.0,64.0,9.0,0.0,0.0,22.0,0.0,1.0,16.0,91.0,0.0,3.0,38.0,1.0,8.0,21.0,16.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,450.0,419.0,8696.0,220.0,271.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,334.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David,Cone,1,0.1553398058252427,0.1875,0.19212962962962962,0.23529411764705882,55.0,0.17718446601941748,3.0,0.1875,0.3693140956490471,0.4227941176470588
3672,coninje01,0,2,2,2,1498,3173,2024.0,6957.0,870.0,1982.0,385.0,36.0,214.0,1071.0,54.0,29.0,671.0,1168.0,46.0,41.0,9.0,103.0,182.0,32.0,102.0,15.0,31.0,3.0,1.0,1.0,8.0,0.0,0.0,11.0,9.0,1.0,0.0,1.0,2.0,2.0,2002.0,1722.0,46162.0,8866.0,742.0,98.0,796.0,0.0,0.0,0.0,0.0,0.0,29.0,25.0,704.0,107.0,11.0,2.0,9.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jeff,Conine,1,0.28489291361218916,0.30392156862745096,0.3466289243437983,0.3652173913043478,1347.0,0.44286330314790856,26.0,0.38235294117647056,0.7894922274917069,0.7475703324808184
3678,conlege01,0,0,2,1,868,1720,276.0,548.0,33.0,105.0,19.0,1.0,5.0,45.0,0.0,1.0,5.0,119.0,0.0,4.0,31.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,211.0,4729.0,78.0,241.0,19.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gene,Conley,1,0.19160583941605838,0.0,0.20320855614973263,0.0,80.0,0.2572992700729927,0.0,0.0,0.46050782622272535,0.0
3685,connasa01,0,0,0,0,883,1846,303.0,301.0,32.0,70.0,9.0,5.0,1.0,22.0,1.0,0.0,9.0,69.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,50.0,248.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sarge,Connally,1,0.23255813953488372,0.0,0.25483870967741934,0.0,55.0,0.30564784053156147,0.0,0.0,0.5604865502089809,0.0
3709,connoro01,0,0,2,2,1170,2331,1998.0,7797.0,1620.0,2467.0,441.0,233.0,138.0,1323.0,244.0,0.0,1002.0,455.0,0.0,39.0,9.0,0.0,0.0,16.0,58.0,16.0,19.0,3.0,4.0,0.0,15.0,12.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,52968.0,18115.0,1289.0,596.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roger,Connor,1,0.3164037450301398,0.3275862068965517,0.3969223806291016,0.4,1655.0,0.4858278825189175,12.0,0.5172413793103449,0.8827502631480191,0.9172413793103449
3717,conrowi01,0,0,1,0,769,1652,1374.0,5061.0,605.0,1257.0,176.0,82.0,22.0,452.0,262.0,0.0,345.0,455.0,0.0,35.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362.0,894.0,32883.0,2432.0,2534.0,337.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wid,Conroy,1,0.24836988737403676,0.0,0.3008638117993016,0.0,977.0,0.32859118751234934,0.0,0.0,0.6294549993116509,0.0
3718,consobi01,0,0,0,0,1002,2035,603.0,1178.0,158.0,260.0,31.0,11.0,9.0,83.0,9.0,10.0,161.0,297.0,3.0,3.0,18.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,313.0,8939.0,594.0,1060.0,96.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Billy,Consolo,1,0.22071307300509338,0.0,0.31524163568773234,0.0,209.0,0.28862478777589134,0.0,0.0,0.6038664234636237,0.0
3724,contrjo01,6,2,2,1,1180,2108,299.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,175.0,3519.0,44.0,128.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,147.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jose,Contreras,1,0.0,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.09375,0.0
3746,cookaa01,0,2,1,0,839,1783,272.0,382.0,26.0,58.0,7.0,1.0,0.0,19.0,0.0,0.0,21.0,130.0,0.0,2.0,67.0,1.0,3.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,256.0,224.0,4219.0,139.0,283.0,21.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron,Cook,1,0.1518324607329843,0.5,0.19950738916256158,0.5,50.0,0.17539267015706805,2.0,0.5,0.37490005931962966,1.0
3750,cookde01,3,4,5,2,1619,2996,669.0,110.0,15.0,29.0,2.0,1.0,2.0,9.0,0.0,0.0,3.0,13.0,0.0,0.0,9.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.0,71.0,3035.0,40.0,116.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dennis,Cook,1,0.2636363636363636,0.0,0.2831858407079646,0.0,24.0,0.35454545454545455,0.0,0.0,0.6377312952534191,0.0
