,playerID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,post_G,post_AB,post_R,post_H,post_2B,post_3B,post_HR,post_RBI,post_SB,post_CS,post_BB,post_SO,post_IBB,post_HBP,post_SH,post_SF,post_GIDP,fielding_G,fielding_GS,InnOuts,PO,A,E,DP,PB,fielding_WP,fielding_SB,fielding_CS,ZR,fielding_post_G,fielding_post_GS,post_InnOuts,post_PO,post_A,post_E,post_DP,post_TP,post_PB,fielding_post_SB,fielding_post_CS,inducted,seasons_played
3363,cissebi01,956.0,0.0,3707.0,516.0,990.0,173.0,43.0,29.0,423.0,113.0,63.0,212.0,250.0,0.0,10.0,69.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,956.0,0.0,0.0,2201.0,2948.0,272.0,535.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,9.0
3364,citarra01,21.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,21.0,2.0,133.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0
3365,ciuffni01,21.0,0.0,48.0,3.0,9.0,2.0,0.0,1.0,5.0,0.0,0.0,4.0,16.0,0.0,1.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,21.0,17.0,432.0,143.0,7.0,0.0,0.0,6.0,0.0,9.0,3.0,0.0,,,,,,,,,,,,,3.0
3366,civalaa01,117.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,117.0,1909.0,40.0,48.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0
3367,clabamo01,11.0,0.0,14.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3368,clackbo01,82.0,0.0,312.0,33.0,48.0,1.0,1.0,0.0,19.0,0.0,0.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,85.0,33.0,2289.0,227.0,42.0,54.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0
3369,claggan01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3370,claibpr01,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,63.0,0.0,220.0,6.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0
3371,clairda01,3.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3372,clancal01,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3373,clancbi01,56.0,0.0,227.0,23.0,52.0,11.0,3.0,2.0,34.0,3.0,0.0,4.0,18.0,0.0,1.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,56.0,56.0,1428.0,554.0,27.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3374,clancbu01,522.0,0.0,1796.0,204.0,504.0,69.0,26.0,12.0,198.0,19.0,16.0,111.0,106.0,0.0,8.0,80.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,466.0,0.0,0.0,4385.0,300.0,39.0,346.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,9.0
3375,clancji01,472.0,0.0,61.0,4.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,20.0,0.0,0.0,10.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,472.0,381.0,7552.0,185.0,301.0,26.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,15.0
3376,clantuk01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3377,clapich01,70.0,0.0,105.0,18.0,28.0,5.0,3.0,1.0,9.0,1.0,0.0,14.0,19.0,0.0,1.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,41.0,22.0,681.0,45.0,56.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
3378,clappaa01,36.0,0.0,146.0,24.0,39.0,9.0,3.0,0.0,18.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,36.0,0.0,915.0,279.0,7.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3379,clappjo01,588.0,0.0,2523.0,459.0,713.0,92.0,35.0,7.0,279.0,17.0,11.0,112.0,51.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,619.0,55.0,15681.0,2630.0,591.0,423.0,48.0,393.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.0
3380,clappst01,23.0,0.0,25.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,8.0,2.0,80.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
