,count,mean,std,min,25%,50%,75%,max
post_E,3346.0,0.576210400478183,1.3320322143227024,0.0,0.0,0.0,1.0,16.0
post_DP,3346.0,1.6102809324566647,5.020073497277089,0.0,0.0,0.0,1.0,101.0
post_TP,3346.0,0.00029886431560071725,0.017287692604876958,0.0,0.0,0.0,0.0,1.0
post_PB,3346.0,0.049611476389719064,0.4227338227285776,0.0,0.0,0.0,0.0,12.0
fielding_post_SB,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fielding_post_CS,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inducted,3346.0,0.08218768679019725,0.2746915030780661,0.0,0.0,0.0,0.0,1.0
seasons_played,3346.0,13.380155409444113,3.0649395109912043,10.0,11.0,13.0,15.0,27.0
ALCS MVP,3346.0,0.008667065152420802,0.09587712476128092,0.0,0.0,0.0,0.0,2.0
All-MLB Team - First Team,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All-MLB Team - Second Team,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All-Star Game MVP,3346.0,0.015242080095636582,0.13193132914475664,0.0,0.0,0.0,0.0,2.0
Babe Ruth Award,3346.0,0.017931858936043037,0.13715460869307708,0.0,0.0,0.0,0.0,2.0
Baseball Magazine All-Star,3346.0,0.42528392109982066,1.9815155514153135,0.0,0.0,0.0,0.0,29.0
Bob Feller Act of Valor Award - HOF Player,3346.0,0.002988643156007173,0.054594889537933594,0.0,0.0,0.0,0.0,1.0
Bob Feller Act of Valor Award - MLB Player,3346.0,0.0005977286312014345,0.02444483458807086,0.0,0.0,0.0,0.0,1.0
Bob Feller Act of Valor Award - Patriot Award,3346.0,0.00029886431560071725,0.017287692604876958,0.0,0.0,0.0,0.0,1.0
Branch Rickey Award,3346.0,0.005678421996413628,0.07515228183821981,0.0,0.0,0.0,0.0,1.0
Comeback Player of the Year,3346.0,0.005379557680812911,0.07713705303675031,0.0,0.0,0.0,0.0,2.0
Cy Young Award,3346.0,0.029288702928870293,0.25711385757818583,0.0,0.0,0.0,0.0,7.0
Gold Glove,3346.0,0.2901972504482965,1.2986388723282096,0.0,0.0,0.0,0.0,18.0
Hank Aaron Award,3346.0,0.006873879258816497,0.12083652223250141,0.0,0.0,0.0,0.0,4.0
Hutch Award,3346.0,0.013448894202032277,0.11520411438128521,0.0,0.0,0.0,0.0,1.0
Lou Gehrig Memorial Award,3346.0,0.017035265989240884,0.12942206805885836,0.0,0.0,0.0,0.0,1.0
MLB Players Choice Comeback Player,3346.0,0.010759115361625823,0.10882257724150468,0.0,0.0,0.0,0.0,2.0
MLB Players Choice Man of the Year,3346.0,0.005977286312014346,0.10641663652959513,0.0,0.0,0.0,0.0,4.0
MLB Players Choice Outstanding Pitcher,3346.0,0.008965929468021518,0.12435907087946096,0.0,0.0,0.0,0.0,3.0
