,playerID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,post_W,post_L,post_G,post_GS,post_CG,post_SHO,post_SV,post_IPouts,post_H,post_ER,post_HR,post_BB,post_SO,post_BAOpp,post_ERA,post_IBB,post_WP,post_HBP,post_BK,post_BFP,post_GF,post_R,post_SH,post_SF,post_GIDP,fielding_G,fielding_GS,InnOuts,PO,A,E,DP,PB,fielding_WP,fielding_SB,fielding_CS,ZR,fielding_post_G,fielding_post_GS,post_InnOuts,post_PO,post_A,post_E,post_DP,post_TP,post_PB,fielding_post_SB,fielding_post_CS,inducted,seasons_played
20203,wilkian01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,9.0,277.0,86.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
20204,wilkibi01,5.0,8.0,88.0,2.0,0.0,0.0,12.0,340.0,97.0,52.0,13.0,42.0,103.0,0.789,20.64,2.0,3.0,0.0,0.0,469.0,38.0,56.0,2.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,2.0,340.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0
20205,wilkibo01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,0.0,0.0,91.0,139.0,18.0,26.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
20206,wilkide01,3.0,1.0,25.0,0.0,0.0,0.0,2.0,93.0,40.0,26.0,3.0,26.0,21.0,0.971,25.67,4.0,4.0,1.0,0.0,159.0,7.0,31.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,93.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0
20207,wilkied01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
20208,wilkier01,2.0,4.0,16.0,14.0,0.0,0.0,0.0,209.0,77.0,34.0,4.0,38.0,52.0,0.289,4.39,1.0,1.0,4.0,0.0,316.0,0.0,41.0,6.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,14.0,209.0,4.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
20209,wilkijl99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
20210,wilkile01,8.0,11.0,68.0,12.0,5.0,1.0,3.0,582.0,215.0,99.0,5.0,80.0,37.0,0.92,19.32,0.0,5.0,2.0,2.0,867.0,35.0,104.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,0.0,0.0,5.0,59.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0
20211,wilkima01,19.0,14.0,245.0,2.0,0.0,0.0,3.0,884.0,278.0,140.0,23.0,155.0,218.0,1.568,27.11,15.0,20.0,23.0,2.0,1292.0,66.0,150.0,16.0,14.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,2.0,884.0,7.0,38.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6.0
20212,wilkiri01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,563.0,15421.0,3713.0,383.0,31.0,49.0,48.0,0.0,386.0,240.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.0
